,Book,Author,Description,Genres,Year of Publication,Publisher_x,URL,Aggregated Emotions,Aggregated Des Emotions,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher_y,Image-URL-S,Image-URL-M,Image-URL-L
24,hondo,louis l'amour,etched desert ’ howling winds big broad shouldered man knew ways apache ways staying alive woman alone raising young son remote arizona ranch hondo lane angie lowe warrior vittoro whose people preparing rise white men pioneer woman gunman apache warrior caught drama love war honor ,Fiction,1983,Bantam,https://www.goodreads.com/book/show/469933.Hondo,"[(' happy', 16), (' alone', 11), (' attached', 7), (' sad', 6), (' independent', 5), (' hated', 5), (' attracted', 4), (' ecstatic', 4), (' average', 3), (' focused', 3), (' esteemed', 3), (' lost', 2), (' fearful', 2), (' anxious', 2), (' powerless', 2), (' fearless', 2), (' surprise', 2), (' entitled', 1), (' loved', 1), (' embarrassed', 1), (' bored', 1), (' free', 1), (' apathetic', 1), (' obsessed', 1), (' adequate', 1), (' angry', 1)]","[(' alone', 30)]",0553280902,hondo,LOUIS L'AMOUR,1983,Bantam,http://images.amazon.com/images/P/0553280902.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280902.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280902.01.LZZZZZZZ.jpg
25,l.a. confidential,james ellroy,christmas 1951 los angeles city police corrupt criminals six prisoners beaten senseless cells cops crazed alcohol three lapd detectives involved expose guilty secrets built corrupt violent careers novel takes cops sprawling epic brutal violence murderous seedy side hollywood one best crime novels ever written heart ellroy four novel masterpiece la quartet example crime writing powerful ,Fiction,1997,Warner Books,https://www.goodreads.com/book/show/1676273.L_A_Confidential,"[(' sad', 32), (' happy', 28), (' attached', 9), (' angry', 7), (' attracted', 6), (' powerless', 6), (' fearless', 4), (' alone', 4), (' loved', 4), (' focused', 3), (' ecstatic', 3), (' codependent', 3), (' fearful', 3), (' lost', 3), (' obsessed', 2), (' independent', 2), (' hated', 2), (' average', 2), (' cheated', 2), (' derailed', 1), (' bored', 1), (' demoralized', 1), (' anxious', 1), (' adequate', 1), (' free', 1), (' singled out', 1), (' esteemed', 1)]","[(' singled out', 30)]",0446674249,l.a. confidential,James Ellroy,1997,Warner Books,http://images.amazon.com/images/P/0446674249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446674249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446674249.01.LZZZZZZZ.jpg
29,esio trot,roald dahl,mr hoppy love mrs silver heart belongs alfie pet tortoise mr hoppy shy approach mrs silver one day comes brilliant idea win heart mr hoppy plan works mrs silver certainly fall love going take one hundred forty tortoises ancient spell little bit magic ,Fiction,1992,Puffin Books,https://www.goodreads.com/book/show/194755.Esio_Trot,"[(' happy', 11), (' attached', 10), (' loved', 8), (' independent', 1), (' hated', 1), (' alone', 1), (' fearless', 1), (' attracted', 1), (' angry', 1), (' surprise', 1), (' fearful', 1)]",[],0140360999,esio trot,Roald Dahl,1992,Puffin Books,http://images.amazon.com/images/P/0140360999.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140360999.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140360999.01.LZZZZZZZ.jpg
32,the twins,tessa de loo,twins orphaned six sent live different relatives opposite sides ww ii reunited chance seventy years later belgian health resort international bestseller powerful novel european allegory poignant story family ties ,Fiction,2000,Arcadia Books,https://www.goodreads.com/book/show/1057293.The_Twins,"[(' sad', 6), (' angry', 4), (' singled out', 3), (' happy', 3), (' attached', 2), (' loved', 2), (' average', 2), (' lost', 2), (' attracted', 2), (' free', 1), (' alone', 1), (' codependent', 1), (' ecstatic', 1), (' bored', 1)]",[],190085032X,the twins,Tessa de Loo,2000,Arcadia Books,http://images.amazon.com/images/P/190085032X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/190085032X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/190085032X.01.LZZZZZZZ.jpg
35,valley of the dolls,jacqueline susann,dolls red black capsules tablets washed vodka swallowed straight anne neely jennifer matter long pill bottle within easy reach three women become best friends young struggling new york city climb top entertainment industry find place left go valley dolls ,Fiction,1998,B &amp; B Audio Inc,https://www.goodreads.com/book/show/50833.Valley_of_the_Dolls,"[(' happy', 27), (' sad', 17), (' attached', 12), (' loved', 6), (' attracted', 6), (' free', 5), (' angry', 5), (' powerless', 5), (' alone', 3), (' fearless', 3), (' hated', 3), (' codependent', 2), (' average', 2), (' fearful', 2), (' derailed', 1), (' anxious', 1), (' lustful', 1), (' embarrassed', 1), (' singled out', 1), (' apathetic', 1), (' cheated', 1), (' esteemed', 1), (' lost', 1), (' demoralized', 1), (' ecstatic', 1)]",[],0929071506,valley of the dolls,Jacqueline Susann,1998,B &amp; B Audio Inc,http://images.amazon.com/images/P/0929071506.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0929071506.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0929071506.01.LZZZZZZZ.jpg
36,the boys from brazil,ira levin,alive hiding south america nazi dr josef mengele gathers group former colleagues horrifying project — creation fourth reich barry kohler young investigative journalist gets wind project informs famed nazi hunter ezra lieberman mengele marked number harmless aging men murder hidden link binds interest possibly hold killers six former ss men dispatched south america wanted nazi still alive notorious angel death one man alone must answer questions stop killings — lieberman aging thought losing grip reality ,Fiction,1995,Bantam Books,https://www.goodreads.com/book/show/99894.The_Boys_from_Brazil,"[(' happy', 9), (' attracted', 3), (' average', 3), (' attached', 3), (' sad', 2), (' adequate', 2), (' loved', 2), (' anxious', 2), (' focused', 1), (' fearless', 1), (' demoralized', 1), (' esteemed', 1), (' hated', 1), (' free', 1), (' ecstatic', 1)]","[(' alone', 26)]",0553290045,the boys from brazil,Ira Levin,1995,Bantam Books,http://images.amazon.com/images/P/0553290045.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553290045.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553290045.01.LZZZZZZZ.jpg
37,doctors,erich segal,writing passion love story power class erich segal sweeps us lives harvard medical school class 1962 stunning novel reveals making doctors makes tick scheme hurt love crucible med school merciless training demanding hours internship residency triumphs sometimes tragedies beyond doctors brings vivid life men women seek heal must first walk fire novel heart unforgettable relationship barney livingston laura castellano childhood friends separately find unsettling celebrity unsatisfying love friendship ripens passion yet even devotion even medical gifts may enough save one life treasure others doctors heartbreaking witty inspiring utterly grippingly real vibrant portrait culminates murder trial miracle superior story moving compelling novel doctors fears confront confounded upi segal best work date new york post ,Fiction,1989,Bantam Books,https://www.goodreads.com/book/show/91201.Doctors,"[(' happy', 13), (' attached', 8), (' sad', 5), (' attracted', 5), (' independent', 5), (' loved', 4), (' free', 3), (' fearful', 2), (' angry', 2), (' ecstatic', 2), (' adequate', 1), (' fearless', 1), (' focused', 1), (' average', 1), (' codependent', 1), (' apathetic', 1), (' powerless', 1)]","[(' sad', 29), (' attracted', 29)]",0553278118,doctors,Erich Segal,1989,Bantam Books,http://images.amazon.com/images/P/0553278118.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553278118.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553278118.01.LZZZZZZZ.jpg
40,le grand meaulnes,alain-fournier,small village sologne fifteen year old françois seurel narrates story relationship seventeen year old augustin meaulnes impulsive reckless heroic meaulnes embodies romantic ideal search unobtainable mysterious world childhood adulthood ,Fiction,0,Hachette,https://www.goodreads.com/book/show/794779.Le_Grand_Meaulnes,"[(' lost', 34), (' happy', 25), (' sad', 17), (' attracted', 10), (' fearless', 8), (' alone', 6), (' esteemed', 3), (' attached', 3), (' angry', 3), (' independent', 2), (' lustful', 2), (' hated', 2), (' surprise', 2), (' demoralized', 2), (' ecstatic', 2), (' free', 2), (' fearful', 2), (' powerless', 2), (' derailed', 2), (' average', 1)]","[(' powerless', 30), (' fearless', 30)]",2010168976,le grand meaulnes,Alain-Fournier,0,Hachette,http://images.amazon.com/images/P/2010168976.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2010168976.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2010168976.01.LZZZZZZZ.jpg
41,the fan man,william kotzwinkle,fan man comic novel published 1974 american writer william kotzwinkle told first person narrator horse badorties heels hippie living life drug fueled befuddlement new york city c 1970 book written colorful vernacular hippie speak tells story main character hapless attempts put together benefit concert featuring hand picked choir 15 year old girls horse somewhat tragic though historically humorous character echoes famous characters popular culture reverend jim ignatowski taxi fame inability follow anything completion displays symptoms attention deficit disorder though could equally drug induced defining characteristic joy renting commandeering apartments fills street scavenged junk articles full bursting moves next pad name fan man reference another traits collecting fans shapes sizes ,Fiction,1987,Penguin USA,https://www.goodreads.com/book/show/815527.The_Fan_Man,"[(' happy', 9), (' attracted', 4), (' free', 3), (' sad', 3), (' entitled', 2), (' attached', 1), (' loved', 1), (' fearless', 1), (' average', 1), (' codependent', 1), (' angry', 1)]","[(' sad', 60), (' happy', 30)]",0525483071,the fan man,William Kotzwinkle,1987,Penguin USA,http://images.amazon.com/images/P/0525483071.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525483071.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525483071.01.LZZZZZZZ.jpg
42,the power and the glory,graham greene,poor remote section southern mexico paramilitary group red shirts taken control god outlawed priests systematically hunted killed last priest run human heroism humble martyrdom nameless little worldly whiskey priest nevertheless impelled toward squalid calvary much compassion humanity efforts pursuers introduction john updike calls power glory graham greene masterpiece… energy grandeur finest novel derive toward compassion ideal communism even christian communist ,Fiction,1982,Penguin USA,https://www.goodreads.com/book/show/3690.The_Power_and_the_Glory,"[(' sad', 23), (' happy', 16), (' powerless', 8), (' attached', 8), (' fearless', 8), (' attracted', 8), (' fearful', 8), (' angry', 7), (' hated', 5), (' alone', 4), (' anxious', 4), (' codependent', 3), (' singled out', 3), (' esteemed', 3), (' entitled', 2), (' lost', 2), (' independent', 2), (' derailed', 2), (' adequate', 2), (' surprise', 2), (' embarrassed', 2), (' average', 2), (' focused', 2), (' obsessed', 1), (' loved', 1), (' apathetic', 1)]",[],0140017917,the power and the glory,Graham Greene,1982,Penguin USA,http://images.amazon.com/images/P/0140017917.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140017917.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140017917.01.LZZZZZZZ.jpg
44,the prince of tides,pat conroy,pat conroy created huge brash thunderstorm novel stinging honesty resounding drama spanning forty years story turbulent tom wingo gifted troubled twin sister savannah dark violent past extraordinary family born ,Fiction,1987,Bantam Books,https://www.goodreads.com/book/show/16735.The_Prince_of_Tides,"[(' happy', 26), (' sad', 18), (' attached', 15), (' loved', 9), (' fearful', 6), (' fearless', 4), (' angry', 4), (' attracted', 4), (' esteemed', 3), (' ecstatic', 3), (' adequate', 3), (' average', 3), (' independent', 2), (' alone', 2), (' anxious', 2), (' hated', 2), (' derailed', 2), (' surprise', 1), (' lost', 1), (' powerless', 1), (' apathetic', 1), (' cheated', 1), (' embarrassed', 1), (' lustful', 1), (' entitled', 1), (' codependent', 1)]","[(' sad', 29)]",0553268880,the prince of tides,Pat Conroy,1987,Bantam Books,http://images.amazon.com/images/P/0553268880.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553268880.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553268880.01.LZZZZZZZ.jpg
48,island,aldous huxley,island last novel huxley transports us pacific island 120 years ideal society flourished inevitably island bliss attracts envy enmity surrounding world conspiracy underway take pala events begin move agent conspirators newspaperman named faranby shipwrecked faranby expect time people pala revolutionize values and—to amazement—give hope ,Fiction,1989,Perennial,https://www.goodreads.com/book/show/5130.Island,"[(' happy', 20), (' fearless', 15), (' attracted', 7), (' surprise', 6), (' alone', 6), (' sad', 5), (' free', 4), (' attached', 3), (' safe', 3), (' anxious', 2), (' adequate', 2), (' loved', 2), (' entitled', 1), (' demoralized', 1), (' powerless', 1), (' angry', 1), (' embarrassed', 1), (' fearful', 1), (' obsessed', 1), (' independent', 1), (' hated', 1), (' singled out', 1), (' cheated', 1), (' average', 1), (' esteemed', 1)]",[],0843949783,island,Richard Laymon,2002,Leisure Books,http://images.amazon.com/images/P/0843949783.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843949783.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843949783.01.LZZZZZZZ.jpg
56,the summons,john grisham,ray atlee professor law university virginia forty three newly single still enduring aftershocks surprise divorce younger brother forrest redefines notion family black sheep father sick old man lives alone ancestral home clanton mississippi known judge atlee beloved powerful official towered local law politics forty years longer bench judge withdrawn atlee mansion become recluse end sight judge atlee issues summons sons return home clanton discuss details estate typed judge handsome old stationery gives date time ray forrest appear study ray reluctantly heads south hometown place grew prefers avoid family meeting take place judge dies soon leaves behind shocking secret known ray perhaps someone else ,Fiction,2002,Dell Publishing Company,https://www.goodreads.com/book/show/5352.The_Summons,"[(' happy', 13), (' esteemed', 6), (' attached', 5), (' sad', 4), (' surprise', 3), (' attracted', 3), (' loved', 3), (' adequate', 3), (' lost', 2), (' angry', 2), (' hated', 2), (' demoralized', 1), (' average', 1), (' powerless', 1), (' fearful', 1), (' bored', 1), (' ecstatic', 1), (' obsessed', 1)]","[(' alone', 30)]",0440241073,the summons,John Grisham,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440241073.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.LZZZZZZZ.jpg
60,tara road,maeve binchy,new book maeve binchy continues remarkable progression sales audience growth reaching fans ages backgrounds matchless wit warmth sheer storytelling magic tara road first full length novel since glass lake shows incomparable understanding human heart tale two women one ireland one america switch lives learn much well much ria lived tara road dublin dashing husband danny two children fully believed happily married right day danny told leaving young pregnant girlfriend chance phone call ria meets marilyn woman new england unable come terms son death separated husband two women exchange houses summer extraordinary consequences learning deep secret never revealed drawn lifestyles vastly differing first resents news well getting ria seems become quite hostess entertaining half neighborhood first irritates reserved withdrawn marilyn woman always guarded privacy marilyn seems become bosom friends ria children well colm handsome restaurateur ria begun miss terribly end summer women last meet face face learned great deal find become firmly forever good friends moving story rendered deft touch master artisan tara road maeve binchy best — utterly beautiful hauntingly unforgettable entirely original wholly enjoyable ,Fiction,2000,Dell Publishing Company,https://www.goodreads.com/book/show/5196.Tara_Road,"[(' happy', 24), (' attached', 13), (' attracted', 9), (' sad', 7), (' powerless', 4), (' bored', 4), (' fearful', 3), (' singled out', 3), (' loved', 3), (' surprise', 3), (' anxious', 2), (' independent', 2), (' hated', 2), (' codependent', 2), (' lost', 2), (' alone', 2), (' embarrassed', 2), (' cheated', 2), (' fearless', 1), (' average', 1), (' apathetic', 1), (' angry', 1), (' focused', 1), (' free', 1)]","[(' happy', 28)]",0440235596,tara road,Maeve Binchy,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440235596.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440235596.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440235596.01.LZZZZZZZ.jpg
67,push,sapphire,precious jones illiterate sixteen year old invisible invisible father rapes mother batters authorities dismiss one harlem casualties precious pregnant second child father meets determined highly radical teacher follow journey education enlightenment precious learns write life make first time ,Fiction,1997,Vintage Books USA,https://www.goodreads.com/book/show/71332.Push,"[(' happy', 18), (' powerless', 10), (' attracted', 9), (' sad', 7), (' fearful', 7), (' attached', 7), (' angry', 3), (' codependent', 2), (' hated', 2), (' surprise', 2), (' esteemed', 2), (' adequate', 2), (' alone', 2), (' loved', 2), (' independent', 1), (' anxious', 1), (' lost', 1), (' cheated', 1), (' apathetic', 1), (' embarrassed', 1), (' average', 1)]","[(' focused', 28)]",0679766758,push,Sapphire,1997,Vintage Books USA,http://images.amazon.com/images/P/0679766758.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679766758.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679766758.01.LZZZZZZZ.jpg
69,a single man,christopher isherwood,single man originally published shocked many frank sympathetic moving portrayal gay man midlife george protagonist adjusting life sudden death partner determined persist routines daily life englishman professor living suburban southern california outsider every way internal reflections interactions others reveal man loves alive despite everyday injustices loneliness wry suddenly manic constantly funny surprisingly sad novel catches true textures life book jacket ,Fiction,2001,University of Minnesota Press,https://www.goodreads.com/book/show/16842.A_Single_Man,"[(' happy', 20), (' sad', 11), (' alone', 10), (' attracted', 7), (' lost', 6), (' attached', 6), (' loved', 4), (' angry', 3), (' average', 3), (' fearful', 3), (' fearless', 2), (' adequate', 2), (' surprise', 1), (' entitled', 1), (' lustful', 1), (' ecstatic', 1), (' esteemed', 1), (' focused', 1), (' free', 1), (' independent', 1), (' hated', 1), (' codependent', 1)]","[(' focused', 30), (' sad', 30), (' surprise', 30), (' codependent', 30)]",0816638624,a single man,Christopher Isherwood,2001,University of Minnesota Press,http://images.amazon.com/images/P/0816638624.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0816638624.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0816638624.01.LZZZZZZZ.jpg
